source,target
/live-job-role/core-android-developer1,https://talent.cloudemployee.io/live-job-role/core-android-developer1
/live-job-role/cms-backend-administrator,https://talent.cloudemployee.io/live-job-role/cms-backend-administrator
/live-job-role/data-engineer,https://talent.cloudemployee.io/live-job-role/data-engineer
/live-job-role/ai-engineer,https://talent.cloudemployee.io/live-job-role/ai-engineer
/live-job-role/c-developer,https://talent.cloudemployee.io/live-job-role/c-developer
/live-job-role/backend-developer-python-devops-terraform,https://talent.cloudemployee.io/live-job-role/backend-developer-python-devops-terraform
/live-job-role/aws-devops-engineer,https://talent.cloudemployee.io/live-job-role/aws-devops-engineer
/live-job-role/consultant-e-commerce-and-technology,https://talent.cloudemployee.io/live-job-role/consultant-e-commerce-and-technology
/live-job-role/backend-software-engineer-php,https://talent.cloudemployee.io/live-job-role/backend-software-engineer-php
/live-job-role/business-development-representative-bdr,https://talent.cloudemployee.io/live-job-role/business-development-representative-bdr
/live-job-role/fullstack-net-developer11,https://talent.cloudemployee.io/live-job-role/fullstack-net-developer11
/live-job-role/full-stack-senior-engineer001,https://talent.cloudemployee.io/live-job-role/full-stack-senior-engineer001
/live-job-role/devops-cloud-infrastructure-engineer,https://talent.cloudemployee.io/live-job-role/devops-cloud-infrastructure-engineer
/live-job-role/full-stack-net-developer12,https://talent.cloudemployee.io/live-job-role/full-stack-net-developer12
/live-job-role/junior-data-engineer-mid-level-python-developer,https://talent.cloudemployee.io/live-job-role/junior-data-engineer-mid-level-python-developer
/live-job-role/project-manager-2,https://talent.cloudemployee.io/live-job-role/project-manager-2
/live-job-role/core-ios-developer,https://talent.cloudemployee.io/live-job-role/core-ios-developer
/live-job-role/senior-net-developer-with-blazor,https://talent.cloudemployee.io/live-job-role/senior-net-developer-with-blazor
/live-job-role/digital-commerce-associate-architect,https://talent.cloudemployee.io/live-job-role/digital-commerce-associate-architect
/live-job-role/fullstack-vue-developer,https://talent.cloudemployee.io/live-job-role/fullstack-vue-developer
/live-job-role/sql-server-database-administrator-dba,https://talent.cloudemployee.io/live-job-role/sql-server-database-administrator-dba
/live-job-role/qa-automation-engineer-fobdm,https://talent.cloudemployee.io/live-job-role/qa-automation-engineer-fobdm
/live-job-role/enterprise-architect,https://talent.cloudemployee.io/live-job-role/enterprise-architect
/live-job-role/growth-ae,https://talent.cloudemployee.io/live-job-role/growth-ae
/live-job-role/mobile-and-web-developer-react-and-react-native,https://talent.cloudemployee.io/live-job-role/mobile-and-web-developer-react-and-react-native
/live-job-role/senior-data-engineer-200,https://talent.cloudemployee.io/live-job-role/senior-data-engineer-200
/live-job-role/part-time-manual-qa-tester-ph,https://talent.cloudemployee.io/live-job-role/part-time-manual-qa-tester-ph
/live-job-role/data-analyst,https://talent.cloudemployee.io/live-job-role/data-analyst
/live-job-role/data-scientist-01,https://talent.cloudemployee.io/live-job-role/data-scientist-01
/live-job-role/qa-engineer---manual-automation-technical-documentation,https://talent.cloudemployee.io/live-job-role/qa-engineer---manual-automation-technical-documentation
/live-job-role/scrum-master-thdgt,https://talent.cloudemployee.io/live-job-role/scrum-master-thdgt
/live-job-role/senior-data-engineer,https://talent.cloudemployee.io/live-job-role/senior-data-engineer
/live-job-role/fullstack-developer222,https://talent.cloudemployee.io/live-job-role/fullstack-developer222
/live-job-role/qa-engineer1,https://talent.cloudemployee.io/live-job-role/qa-engineer1
/live-job-role/frontend-software-engineer000,https://talent.cloudemployee.io/live-job-role/frontend-software-engineer000
/live-job-role/machine-learning-engineer,https://talent.cloudemployee.io/live-job-role/machine-learning-engineer
/live-job-role/lead-full-stack-developer,https://talent.cloudemployee.io/live-job-role/lead-full-stack-developer
/live-job-role/mid-level-3d-artist,https://talent.cloudemployee.io/live-job-role/mid-level-3d-artist
/live-job-role/front-end-developer-mid-senior,https://talent.cloudemployee.io/live-job-role/front-end-developer-mid-senior
/live-job-role/pmo-analyst-manager,https://talent.cloudemployee.io/live-job-role/pmo-analyst-manager
/live-job-role/full-stack-senior-engineer-2,https://talent.cloudemployee.io/live-job-role/full-stack-senior-engineer-2
/live-job-role/scrum-master,https://talent.cloudemployee.io/live-job-role/scrum-master
/live-job-role/fullstack-software-engineer2,https://talent.cloudemployee.io/live-job-role/fullstack-software-engineer2
/live-job-role/senior-backend-engineer1,https://talent.cloudemployee.io/live-job-role/senior-backend-engineer1
/live-job-role/hubspot-crm-specialist,https://talent.cloudemployee.io/live-job-role/hubspot-crm-specialist
/live-job-role/senior-backend-api-developer,https://talent.cloudemployee.io/live-job-role/senior-backend-api-developer
/live-job-role/senior-android-developer,https://talent.cloudemployee.io/live-job-role/senior-android-developer
/live-job-role/qa-engineer-2,https://talent.cloudemployee.io/live-job-role/qa-engineer-2
/live-job-role/mid-senior-net-developer,https://talent.cloudemployee.io/live-job-role/mid-senior-net-developer
/live-job-role/fullstack-developer-mid---sr,https://talent.cloudemployee.io/live-job-role/fullstack-developer-mid---sr
/live-job-role/senior-azure-devops-engineer,https://talent.cloudemployee.io/live-job-role/senior-azure-devops-engineer
/live-job-role/senior-web-developer-react-wordpress,https://talent.cloudemployee.io/live-job-role/senior-web-developer-react-wordpress
/live-job-role/senior-qa-tester-manual-and-automation,https://talent.cloudemployee.io/live-job-role/senior-qa-tester-manual-and-automation
/live-job-role/senior-integration-backend-developer,https://talent.cloudemployee.io/live-job-role/senior-integration-backend-developer
/live-job-role/senior-data-engineer-202,https://talent.cloudemployee.io/live-job-role/senior-data-engineer-202
/live-job-role/senior-frontend-engineer-web3-next-js,https://talent.cloudemployee.io/live-job-role/senior-frontend-engineer-web3-next-js
/live-job-role/seniorlead-backend-developer,https://talent.cloudemployee.io/live-job-role/seniorlead-backend-developer
/live-job-role/senior-frontend-developer-15,https://talent.cloudemployee.io/live-job-role/senior-frontend-developer-15
/live-job-role/senior-drupal-developer011,https://talent.cloudemployee.io/live-job-role/senior-drupal-developer011
/live-job-role/senior-flutter-developer,https://talent.cloudemployee.io/live-job-role/senior-flutter-developer
/live-job-role/senior-full-stack-developer,https://talent.cloudemployee.io/live-job-role/senior-full-stack-developer
/live-job-role/senior-fullstack-javascript-developer,https://talent.cloudemployee.io/live-job-role/senior-fullstack-javascript-developer
/live-job-role/senior-ios-developer,https://talent.cloudemployee.io/live-job-role/senior-ios-developer
/live-job-role/senior-python-developer,https://talent.cloudemployee.io/live-job-role/senior-python-developer
/live-job-role/senior-qa-tester,https://talent.cloudemployee.io/live-job-role/senior-qa-tester
/live-job-role/senior-technical-writer,https://talent.cloudemployee.io/live-job-role/senior-technical-writer
/live-job-role/senior-ui-developer-with-umbraco,https://talent.cloudemployee.io/live-job-role/senior-ui-developer-with-umbraco
/live-job-role/senior-fullstack-python-developer-with-react,https://talent.cloudemployee.io/live-job-role/senior-fullstack-python-developer-with-react
/live-job-role/senior-full-stack-net-blazor-developer,https://talent.cloudemployee.io/live-job-role/senior-full-stack-net-blazor-developer
/live-job-role/senior-qa-tester-q3qlf,https://talent.cloudemployee.io/live-job-role/senior-qa-tester-q3qlf
/live-job-role/seniorlead-backend-developer-brazil,https://talent.cloudemployee.io/live-job-role/seniorlead-backend-developer-brazil
/live-job-role/senior-software-developer-php-laravel,https://talent.cloudemployee.io/live-job-role/senior-software-developer-php-laravel
/live-job-role/senior-fullstack-php-laravel-developer,https://talent.cloudemployee.io/live-job-role/senior-fullstack-php-laravel-developer
/live-job-role/senior-laravel-developer,https://talent.cloudemployee.io/live-job-role/senior-laravel-developer
/live-job-role/senior-qa-engineer,https://talent.cloudemployee.io/live-job-role/senior-qa-engineer
/live-job-role/senior-devops-engineer-3,https://talent.cloudemployee.io/live-job-role/senior-devops-engineer-3
/live-job-role/senior-fullstack-engineer-ngx8q,https://talent.cloudemployee.io/live-job-role/senior-fullstack-engineer-ngx8q
/live-job-role/senior-hr-business-partner,https://talent.cloudemployee.io/live-job-role/senior-hr-business-partner
/live-job-role/senior-salesforce-developer01,https://talent.cloudemployee.io/live-job-role/senior-salesforce-developer01
/live-job-role/senior-video-editor,https://talent.cloudemployee.io/live-job-role/senior-video-editor
/live-job-role/senior-quality-assurance-engineer,https://talent.cloudemployee.io/live-job-role/senior-quality-assurance-engineer
/live-job-role/senior-integrations-developer,https://talent.cloudemployee.io/live-job-role/senior-integrations-developer
