"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://staging.jakevibes.dev/","text/html; charset=utf-8","200","OK","Indexable","","Hire Engineers Vetted by Engineers | Cloud Employee","51","471","We embed senior engineers full time in your team, tools, and timezone within 7 days. Vetted by senior engineers, not recruiters. HR and payroll handled.","152","926","","0","Hire engineers vetted by engineers","34","Staff augmentation, embedded","28","How it works","12","index, follow","","","https://staging.jakevibes.dev/","","","","","","438520","57948","57948","22.199","","1450","322","4.503","90.184","Very Easy","2.332","0","0","","715","337","0","50.000","124","50","0","1","1","0","","","","","93b806e28b7fced19e41c2e1ac90f30d","0.826","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/","2026-07-28 16:56:30"
"https://staging.jakevibes.dev/ai-in-software-development","text/html; charset=utf-8","200","OK","Indexable","","AI in Software Development Knowledge Hub | Cloud Employee","57","552","Discover how AI transforms software development. Learn about AI trends, tools, and how to hire skilled AI developers for future-ready engineering teams.","152","944","","0","AI in Software Development Knowledge Hub","40","All articles","12","Featured articles","17","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development","","","","","","260723","36392","36392","13.941","","1080","180","6.000","40.867","Hard","3.670","0","0","","15","14","0","2.080","124","59","0","3","3","0","","","","","d1d44d4e7b150753c41377145d2fb7cc","1.965","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/ai-in-software-development","2026-07-28 16:56:30"
"https://staging.jakevibes.dev/ai-in-software-development/shaping-whats-next-how-future-forward-is-advancing-ai-at-cloud-employee","text/html; charset=utf-8","200","OK","Indexable","","Shaping What’s Next: How Future Forward is Advancing AI at Cloud Employee | Cloud Employee","90","846","Tech isn’t standing still. Neither are we. Future Forward is how we make sure every developer you work with can push further.","125","771","","0","Shaping What’s Next: How Future Forward is Advancing AI at Cloud Employee","73","More articles on AI in Software Development…","44","Ready to hire your next engineer?","33","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development/shaping-whats-next-how-future-forward-is-advancing-ai-at-cloud-employee","","","","","","225558","30807","30807","11.802","","679","119","5.706","51.779","Fairly Hard","2.872","0","1","","5","5","0","0.740","116","53","0","1","1","0","","","","","f9300a63f64cff245ba8b26b369db6d2","2.019","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/ai-in-software-development/shaping-whats-next-how-future-forward-is-advancing-ai-at-cloud-employee","2026-07-28 16:56:30"
"https://staging.jakevibes.dev/ai-in-software-development/securing-ai-the-ctos-guide-to-validation-and-minimum-safety-standards","text/html; charset=utf-8","200","OK","Indexable","","Securing AI: The CTO’s Guide to Validation & Safety Standards | Cloud Employee","78","711","Discover how to validate, secure, and govern AI responsibly. This guide for CTOs covers model accuracy, hallucination checks, bias audits, data security, and client-facing AI risks.","181","1091","","0","Securing AI: The CTO's Guide to Validation and Minimum Safety Standards","71","TL;DR","5","Why AI Validation is Non-Negotiable","35","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development/securing-ai-the-ctos-guide-to-validation-and-minimum-safety-standards","","","","","","240317","33815","33815","12.954","","885","172","5.145","45.891","Hard","3.325","0","1","","10","6","0","0.890","120","53","0","2","2","0","","","","","1a9fc65fe2cf7ad604f2753b15e27674","2.076","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/ai-in-software-development/securing-ai-the-ctos-guide-to-validation-and-minimum-safety-standards","2026-07-28 16:56:30"
"https://staging.jakevibes.dev/about-us","text/html; charset=utf-8","200","OK","Indexable","","About Us | Cloud Employee","25","239","Meet the Cloud Employee team. We embed senior engineers full-time in your team, tools, and timezone. Vetted by engineers, not recruiters, worldwide.","148","918","","0","Built by engineers, for engineering teams","41","We started because hiring was broken. It still is , unless you change who does the vetting.","91","Meet the people behind the placements","37","index, follow","","","https://staging.jakevibes.dev/about-us","","","","","","336014","41780","41780","16.005","","1433","308","4.653","73.943","Fairly Easy","3.116","0","0","","698","336","0","49.850","157","83","0","1","1","0","","","","","95420cc3f33830766b3c4d004856d793","2.146","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/about-us","2026-07-28 16:56:30"
"https://staging.jakevibes.dev/ai-in-software-development/why-staff-augmentation-matters-in-the-age-of-ai","text/html; charset=utf-8","200","OK","Indexable","","Why Staff Augmentation Matters in the Age of AI | Cloud Employee","64","593","AI is accelerating demand for AI engineers. Learn how staff augmentation for AI projects solves the global AI talent shortage and speeds delivery.","146","894","","0","Why Staff Augmentation Matters in the Age of AI","47","TL;DR","5","AI is raising the bar, not replacing it","39","index, follow","","","https://staging.jakevibes.dev/ai-in-software-development/why-staff-augmentation-matters-in-the-age-of-ai","","","","","","290764","43909","43909","16.821","","1941","333","5.829","55.124","Fairly Hard","5.117","0","1","","7","5","0","0.740","118","53","0","14","14","0","","","","","e8763b5f626cebdd88be7591076fd6df","0.845","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/ai-in-software-development/why-staff-augmentation-matters-in-the-age-of-ai","2026-07-28 16:56:32"
"https://staging.jakevibes.dev/book-a-call","text/html; charset=utf-8","200","OK","Indexable","","Book a Discovery Call | Cloud Employee | Cloud Employee","55","506","Book a free 30-minute discovery call with Cloud Employee. Discuss your engineering team needs and see if we're the right fit.","125","762","","0","Schedule a call with us today","29","Ready to hire your next engineer?","33","","0","index, follow","","","https://staging.jakevibes.dev/book-a-call","","","","","","190065","24091","24091","9.229","","273","52","5.250","44.082","Hard","2.027","0","0","","825","463","0","68.690","115","50","0","1","1","0","","","","","21e1f793e6a0318c0f443e6798832d94","0.448","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/book-a-call","2026-07-28 16:56:33"
"https://staging.jakevibes.dev/alternatives","text/html; charset=utf-8","200","OK","Indexable","","Cloud Employee Alternatives | Compare Providers Side by Side | Cloud Employee","77","714","Explore Cloud Employee vs top alternatives. Compare outsourcing, freelancing & agencies to find the best way to scale your engineering team.","140","873","","0","Cloud Employee: Comparisons & Reviews","37","Featured","8","All alternatives","16","index, follow","","","https://staging.jakevibes.dev/alternatives","https://staging.jakevibes.dev/alternatives?page=2","","","","","289931","34005","34005","13.027","","880","185","4.757","62.705","Normal","2.736","0","0","","676","336","0","49.850","131","66","0","1","1","0","","","","","59c28ed27421584fed296809e9ab9bf4","0.495","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/alternatives","2026-07-28 16:56:33"
"https://staging.jakevibes.dev/book-a-call/aj","text/html; charset=utf-8","200","OK","Indexable","","Schedule a call with AJ Develos | Cloud Employee","48","440","Book a call with AJ Develos at Cloud Employee today. Schedule instantly through our easy online calendar to discuss your hiring needs and scale your tech team","158","984","","0","Book a call with AJ","19","Ready to hire your next engineer?","33","","0","index, follow","","","https://staging.jakevibes.dev/book-a-call/aj","","","","","","191088","24209","24209","9.274","","269","51","5.275","43.918","Hard","1.996","0","1","","3","3","0","0.450","114","51","0","1","1","0","","","","","d7bffa7517021a9e40d3e92128a71473","0.496","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/book-a-call/aj","2026-07-28 16:56:33"
"https://staging.jakevibes.dev/book-a-call/anto","text/html; charset=utf-8","200","OK","Indexable","","Schedule a call with Anto Čabraja | Cloud Employee","50","456","Book a call with Anto Čabraja at Cloud Employee today. Schedule instantly through our easy online calendar to discuss your hiring needs and scale your tech","155","963","","0","Book a call with Anto","21","Ready to hire your next engineer?","33","","0","index, follow","","","https://staging.jakevibes.dev/book-a-call/anto","","","","","","190444","24182","24182","9.264","","269","51","5.275","43.603","Hard","2.004","0","1","","3","3","0","0.450","114","51","0","1","1","0","","","","","7d6ccd2dbe73bab70348f2d1fb26b765","0.388","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/book-a-call/anto","2026-07-28 16:56:33"
"https://staging.jakevibes.dev/blog","text/html; charset=utf-8","200","OK","Indexable","","All Blogs & Guides | Cloud Employee","35","319","From the future of work to hiring and retaining exceptional talent, find our expert insights, CTO profiles, thought pieces and more.","132","793","","0","All Blogs & Guides","18","Featured","8","All articles","12","index, follow","","","https://staging.jakevibes.dev/blog","https://staging.jakevibes.dev/blog?page=2","","","","","342112","37819","37819","14.488","","869","184","4.723","53.967","Fairly Hard","2.360","0","0","","1054","336","0","49.850","141","75","0","1","1","0","","","","","fd829b43022ccca7c7a693e5b1bc2d65","0.649","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/blog","2026-07-28 16:56:33"
"https://staging.jakevibes.dev/book-a-call/seb","text/html; charset=utf-8","200","OK","Indexable","","Schedule a call with Seb Hall | Cloud Employee","46","414","Book a call with Seb Hall at Cloud Employee today. Schedule instantly through our easy online calendar to discuss your hiring needs and scale your tech team","156","966","","0","Book a call with Seb","20","Ready to hire your next engineer?","33","","0","index, follow","","","https://staging.jakevibes.dev/book-a-call/seb","","","","","","191115","24501","24501","9.386","","269","51","5.275","43.918","Hard","1.996","0","1","","3","3","0","0.450","114","51","0","1","1","0","","","","","45560b86565de997956c4eb6d5394f","0.451","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/book-a-call/seb","2026-07-28 16:56:33"
"https://staging.jakevibes.dev/book-a-call/molly","text/html; charset=utf-8","200","OK","Indexable","","Schedule a call with Molly Miller | Cloud Employee","50","442","Book a call with Molly Miller at Cloud Employee today. Schedule instantly through our easy online calendar to discuss your hiring needs and scale your tech team with top global developers.","188","1154","","0","Book a call with Molly","22","Ready to hire your next engineer?","33","","0","index, follow","","","https://staging.jakevibes.dev/book-a-call/molly","","","","","","191465","24645","24645","9.441","","269","51","5.275","43.603","Hard","1.994","0","1","","1","1","0","0.150","114","51","0","1","1","0","","","","","20929f6687969d5cc9fd04861c7af801","0.656","","","","","en-US","1.1","","","","","","https://staging.jakevibes.dev/book-a-call/molly","2026-07-28 16:56:33"
